word,name,count,fem,male
leadership,leadership,22113, 2913,19200
career,career,9231, 1480,7751
love,love,1946, 513,1433
black,black,2510, 460,2050
visual arts,visual arts,3841, 842,2999
national,national,8656, 1241,7415
father,father,6118, 1021,5097
dance,dance,1829, 575,1254
journalism,journalism,2262, 393,1869
fashion,fashion,763, 245,518
teaching,teaching,2248, 581,1667
military,military,7972, 351,7621
action,action,4046, 729,3317
social,social,2886, 653,2233
grandchildren,grandchildren,15892, 2099,13793
science,science,7968, 967,7001
elected,elected,2404, 239,2165
interest,interest,2105, 351,1754
marriage,marriage,7330, 2110,5220
award,award,3218, 628,2590
business,business,12607, 1545,11062
literature,literature,12564, 2335,10229
important,important,2369, 370,1999
acting,acting,8082, 1736,6346
won,won,5292, 841,4451
husband,husband,3553, 3023,530
power,power,2136, 219,1917
republican,republican,1268, 137,1131
sports,sports,4588, 553,4035
established,established,2487, 439,2048
children,children,5668, 1310,4358
sister,sister,11030, 1902,9128
mother,mother,4756, 1274,3482
book,book,8084, 1489,6595
major,major,4491, 567,3924
son,son,20364, 2460,17904
friend,friend,3330, 720,2610
politics,politics,7769, 948,6821
wife,wife,22192, 585,21607
democrat,democrat,1951, 216,1735
academia,academia,10761, 1434,9327
law,law,4193, 527,3666
divorce,divorce,2664, 817,1847
religion,religion,3959, 651,3308
culture,culture,1982, 385,1597
brother,brother,10562, 1577,8985
taught,taught,5030, 855,4175
family,family,8842, 1727,7115
music,music,4754, 1089,3665
